customer_id	cohort_month	first_purchase_ts
12346	2009-12-01	2009-12-14 08:34:00
12358	2009-12-01	2009-12-08 07:59:00
12359	2009-12-01	2009-12-05 13:32:00
12417	2009-12-01	2009-12-06 10:30:00
12422	2009-12-01	2009-12-18 12:44:00
12435	2009-12-01	2009-12-02 13:58:00
12437	2009-12-01	2009-12-02 16:24:00
12439	2009-12-01	2009-12-14 08:40:00
12440	2009-12-01	2009-12-22 12:03:00
12443	2009-12-01	2009-12-07 15:42:00
12455	2009-12-01	2009-12-18 12:33:00
12471	2009-12-01	2009-12-07 10:41:00
12472	2009-12-01	2009-12-14 10:49:00
12487	2009-12-01	2009-12-09 11:36:00
12490	2009-12-01	2009-12-01 12:52:00
12510	2009-12-01	2009-12-04 13:47:00
12523	2009-12-01	2009-12-07 13:46:00
12533	2009-12-01	2009-12-01 11:50:00
12539	2009-12-01	2009-12-23 13:00:00
12540	2009-12-01	2009-12-07 16:56:00
12557	2009-12-01	2009-12-17 10:39:00
12577	2009-12-01	2009-12-03 19:31:00
12583	2009-12-01	2009-12-06 11:57:00
12586	2009-12-01	2009-12-16 13:15:00
12600	2009-12-01	2009-12-07 13:37:00
12609	2009-12-01	2009-12-20 13:30:00
12613	2009-12-01	2009-12-14 13:10:00
12664	2009-12-01	2009-12-13 10:28:00
12681	2009-12-01	2009-12-13 13:31:00
12682	2009-12-01	2009-12-01 09:28:00
12683	2009-12-01	2009-12-13 15:01:00
12708	2009-12-01	2009-12-18 10:25:00
12709	2009-12-01	2009-12-09 13:49:00
12712	2009-12-01	2009-12-09 10:46:00
12714	2009-12-01	2009-12-04 10:00:00
12747	2009-12-01	2009-12-07 13:23:00
12748	2009-12-01	2009-12-04 17:31:00
12758	2009-12-01	2009-12-01 14:40:00
12759	2009-12-01	2009-12-04 10:47:00
12779	2009-12-01	2009-12-03 07:25:00
12785	2009-12-01	2009-12-08 13:56:00
12820	2009-12-01	2009-12-05 13:37:00
12826	2009-12-01	2009-12-18 10:43:00
12835	2009-12-01	2009-12-03 12:13:00
12836	2009-12-01	2009-12-01 14:19:00
12839	2009-12-01	2009-12-07 09:18:00
12842	2009-12-01	2009-12-02 08:15:00
12843	2009-12-01	2009-12-13 11:41:00
12854	2009-12-01	2009-12-11 12:55:00
12867	2009-12-01	2009-12-16 16:25:00
12872	2009-12-01	2009-12-03 20:03:00
12913	2009-12-01	2009-12-01 12:18:00
12917	2009-12-01	2009-12-09 14:22:00
12920	2009-12-01	2009-12-14 15:58:00
12921	2009-12-01	2009-12-01 13:43:00
12924	2009-12-01	2009-12-09 12:40:00
12926	2009-12-01	2009-12-14 14:35:00
12931	2009-12-01	2009-12-01 11:46:00
12933	2009-12-01	2009-12-10 16:39:00
12934	2009-12-01	2009-12-03 10:51:00
12937	2009-12-01	2009-12-03 15:43:00
12941	2009-12-01	2009-12-15 13:12:00
12948	2009-12-01	2009-12-02 12:28:00
12949	2009-12-01	2009-12-03 15:56:00
12956	2009-12-01	2009-12-15 19:03:00
12957	2009-12-01	2009-12-11 12:01:00
12970	2009-12-01	2009-12-04 14:19:00
12971	2009-12-01	2009-12-15 19:04:00
12975	2009-12-01	2009-12-06 10:38:00
12978	2009-12-01	2009-12-10 12:10:00
12979	2009-12-01	2009-12-10 15:45:00
12980	2009-12-01	2009-12-02 11:26:00
12989	2009-12-01	2009-12-10 13:27:00
12992	2009-12-01	2009-12-14 16:46:00
13000	2009-12-01	2009-12-14 17:03:00
13001	2009-12-01	2009-12-03 16:21:00
13004	2009-12-01	2009-12-15 09:44:00
13008	2009-12-01	2009-12-16 16:07:00
13013	2009-12-01	2009-12-14 10:34:00
13019	2009-12-01	2009-12-06 15:40:00
13021	2009-12-01	2009-12-05 12:02:00
13025	2009-12-01	2009-12-08 10:02:00
13026	2009-12-01	2009-12-13 11:34:00
13037	2009-12-01	2009-12-03 17:04:00
13039	2009-12-01	2009-12-17 16:43:00
13042	2009-12-01	2009-12-07 15:42:00
13047	2009-12-01	2009-12-16 11:43:00
13050	2009-12-01	2009-12-15 15:06:00
13070	2009-12-01	2009-12-07 14:44:00
13074	2009-12-01	2009-12-16 11:46:00
