customer_id	cohort_month	lifetime_orders	lifetime_revenue	active_months
18102	2009-12-01	145	580987.04	23
14646	2009-12-01	145	526751.52	25
14156	2009-12-01	151	305259.17	24
14911	2009-12-01	378	280026.15	25
17450	2010-09-01	51	244784.25	14
13694	2009-12-01	143	195640.69	25
17511	2009-12-01	60	172132.87	25
16446	2011-05-01	2	168472.50	2
16684	2009-12-01	55	147142.77	18
12415	2010-06-01	24	144033.37	14
15061	2009-12-01	127	126387.57	24
15311	2009-12-01	207	114671.42	25
13089	2009-12-01	203	113416.91	25
16029	2009-12-01	106	109620.87	24
17949	2009-12-01	116	107833.48	25
12931	2009-12-01	57	92347.34	19
14298	2009-12-01	82	91194.49	23
15769	2009-12-01	46	88612.52	25
12346	2009-12-01	12	77556.46	5
13798	2009-12-01	110	75428.87	25
15838	2009-12-01	34	73205.50	18
17841	2009-12-01	211	68519.95	25
16754	2010-03-01	29	65500.07	9
14096	2011-08-01	17	65164.79	5
14088	2010-10-01	16	64036.80	7
16422	2010-01-01	108	61728.87	23
17389	2009-12-01	61	57215.33	20
13081	2009-12-01	28	56838.37	17
16013	2009-12-01	84	56078.44	23
14680	2009-12-01	58	55688.50	23
13093	2009-12-01	55	54144.25	16
17850	2009-12-01	155	51208.87	8
13408	2009-12-01	106	50174.78	25
13777	2009-12-01	61	49638.26	24
12748	2009-12-01	323	49564.28	25
17404	2010-01-01	21	47638.12	16
13881	2010-03-01	43	45179.10	20
15749	2011-01-01	3	44534.30	2
16705	2009-12-01	42	43515.05	19
15098	2011-06-01	3	39916.50	1
15039	2009-12-01	93	39141.48	24
14031	2009-12-01	44	39019.51	23
17675	2009-12-01	70	37642.48	25
17381	2010-06-01	38	36398.65	19
12921	2009-12-01	74	35233.24	23
12471	2009-12-01	72	35140.99	23
17677	2009-12-01	54	35058.46	24
13902	2009-12-01	5	34023.26	4
13767	2009-12-01	73	33903.57	23
16210	2009-12-01	33	33730.97	16
12678	2010-01-01	17	32855.18	14
16779	2009-12-01	53	32809.03	24
15856	2009-12-01	52	32274.69	23
14258	2009-12-01	25	32051.34	19
17428	2009-12-01	45	31466.76	20
14606	2009-12-01	184	29648.75	25
12709	2009-12-01	33	29571.76	20
13078	2009-12-01	57	29018.06	25
13098	2011-01-01	28	28882.44	12
17940	2009-12-01	15	28438.93	12
14527	2009-12-01	121	27191.10	25
12681	2009-12-01	44	26936.76	21
16333	2011-02-01	22	26626.80	9
15513	2010-01-01	35	26437.05	19
17865	2009-12-01	46	26310.09	22
18251	2009-12-01	9	26278.86	6
13802	2010-02-01	19	26259.11	13
17857	2010-03-01	23	25769.54	12
12731	2010-03-01	17	25631.71	15
14062	2009-12-01	24	25585.65	16
12939	2010-01-01	20	25264.80	14
14895	2009-12-01	38	25119.54	19
15498	2009-12-01	44	24972.86	20
16525	2009-12-01	48	24151.30	24
13001	2009-12-01	33	24042.65	20
17920	2009-12-01	54	23569.88	20
15640	2009-12-01	29	23459.51	19
12409	2010-05-01	7	23419.29	6
16133	2010-03-01	56	22992.26	20
14607	2009-12-01	20	22575.13	9
15159	2010-10-01	34	22116.73	14
13340	2010-02-01	12	22100.56	8
12621	2010-02-01	35	22097.20	21
12482	2010-02-01	27	21941.72	3
14051	2009-12-01	37	21770.98	21
16839	2010-02-01	44	21758.25	20
12753	2010-12-01	6	21429.39	6
15615	2009-12-01	47	21373.97	22
13319	2009-12-01	58	21323.22	24
12682	2009-12-01	51	20736.22	25
14866	2010-09-01	17	20700.04	8
14667	2009-12-01	54	20359.59	23
15251	2010-01-01	21	20324.54	16
12477	2010-03-01	9	20276.37	8
17706	2010-01-01	31	20272.15	14
17243	2009-12-01	69	20184.68	24
18008	2010-01-01	23	19759.08	13
17340	2010-02-01	18	19617.95	14
16843	2009-12-01	35	19571.43	17
17139	2010-01-01	25	19566.76	16
12540	2009-12-01	32	19250.49	22
14194	2010-01-01	36	18670.59	19
13113	2010-03-01	37	18230.07	18
12557	2009-12-01	8	18096.14	8
16746	2009-12-01	42	18045.05	22
17581	2009-12-01	43	17951.17	20
