customer_id	cohort_month	activity_month	month_number	order_count	revenue
12346	2009-12-01	2009-12-01	0	5	113.50
12358	2009-12-01	2009-12-01	0	1	1429.83
12359	2009-12-01	2009-12-01	0	2	838.89
12417	2009-12-01	2009-12-01	0	2	287.60
12422	2009-12-01	2009-12-01	0	1	75.00
12435	2009-12-01	2009-12-01	0	1	1008.00
12437	2009-12-01	2009-12-01	0	1	524.28
12439	2009-12-01	2009-12-01	0	1	1066.36
12440	2009-12-01	2009-12-01	0	1	488.51
12443	2009-12-01	2009-12-01	0	1	365.31
12455	2009-12-01	2009-12-01	0	1	1636.43
12471	2009-12-01	2009-12-01	0	7	2939.22
12472	2009-12-01	2009-12-01	0	1	1196.43
12487	2009-12-01	2009-12-01	0	1	285.30
12490	2009-12-01	2009-12-01	0	1	531.94
12510	2009-12-01	2009-12-01	0	1	323.88
12523	2009-12-01	2009-12-01	0	1	74.56
12533	2009-12-01	2009-12-01	0	1	821.92
12539	2009-12-01	2009-12-01	0	2	5149.06
12540	2009-12-01	2009-12-01	0	1	328.60
12557	2009-12-01	2009-12-01	0	1	1952.64
12577	2009-12-01	2009-12-01	0	1	210.55
12583	2009-12-01	2009-12-01	0	1	745.44
12586	2009-12-01	2009-12-01	0	1	422.35
12600	2009-12-01	2009-12-01	0	2	379.89
12609	2009-12-01	2009-12-01	0	1	294.60
12613	2009-12-01	2009-12-01	0	1	1207.11
12664	2009-12-01	2009-12-01	0	1	469.08
12681	2009-12-01	2009-12-01	0	1	942.54
12682	2009-12-01	2009-12-01	0	3	964.95
12683	2009-12-01	2009-12-01	0	2	1107.36
12708	2009-12-01	2009-12-01	0	1	187.47
12709	2009-12-01	2009-12-01	0	1	1196.68
12712	2009-12-01	2009-12-01	0	1	297.80
12714	2009-12-01	2009-12-01	0	1	556.65
12747	2009-12-01	2009-12-01	0	3	1032.00
12748	2009-12-01	2009-12-01	0	7	1831.21
12758	2009-12-01	2009-12-01	0	1	2454.68
12759	2009-12-01	2009-12-01	0	1	454.26
12779	2009-12-01	2009-12-01	0	1	371.82
12785	2009-12-01	2009-12-01	0	1	310.90
12820	2009-12-01	2009-12-01	0	1	148.30
12826	2009-12-01	2009-12-01	0	1	458.20
12835	2009-12-01	2009-12-01	0	5	1040.31
12836	2009-12-01	2009-12-01	0	1	407.97
12839	2009-12-01	2009-12-01	0	3	969.78
12842	2009-12-01	2009-12-01	0	1	397.20
12843	2009-12-01	2009-12-01	0	1	71.79
12854	2009-12-01	2009-12-01	0	1	522.44
12867	2009-12-01	2009-12-01	0	1	286.49
12872	2009-12-01	2009-12-01	0	1	407.22
12913	2009-12-01	2009-12-01	0	2	741.96
12917	2009-12-01	2009-12-01	0	1	1552.90
12920	2009-12-01	2009-12-01	0	2	138.90
12921	2009-12-01	2009-12-01	0	4	2443.70
12924	2009-12-01	2009-12-01	0	3	280.35
12926	2009-12-01	2009-12-01	0	1	370.77
12931	2009-12-01	2009-12-01	0	2	1268.75
12933	2009-12-01	2009-12-01	0	1	155.79
12934	2009-12-01	2009-12-01	0	1	181.65
12937	2009-12-01	2009-12-01	0	2	314.57
12941	2009-12-01	2009-12-01	0	1	377.49
12948	2009-12-01	2009-12-01	0	2	252.48
12949	2009-12-01	2009-12-01	0	1	1794.70
12956	2009-12-01	2009-12-01	0	2	276.70
12957	2009-12-01	2009-12-01	0	1	1107.95
12970	2009-12-01	2009-12-01	0	1	236.93
12971	2009-12-01	2009-12-01	0	1	61.45
12975	2009-12-01	2009-12-01	0	1	441.63
12978	2009-12-01	2009-12-01	0	1	945.58
12979	2009-12-01	2009-12-01	0	1	517.70
12980	2009-12-01	2009-12-01	0	1	754.20
12989	2009-12-01	2009-12-01	0	1	413.10
12992	2009-12-01	2009-12-01	0	1	93.35
13000	2009-12-01	2009-12-01	0	1	497.65
13001	2009-12-01	2009-12-01	0	1	869.93
13004	2009-12-01	2009-12-01	0	1	306.54
13008	2009-12-01	2009-12-01	0	1	189.31
13013	2009-12-01	2009-12-01	0	1	756.51
13019	2009-12-01	2009-12-01	0	2	445.30
13021	2009-12-01	2009-12-01	0	1	233.71
13025	2009-12-01	2009-12-01	0	1	323.39
13026	2009-12-01	2009-12-01	0	1	335.98
13037	2009-12-01	2009-12-01	0	1	313.19
13039	2009-12-01	2009-12-01	0	1	162.80
13042	2009-12-01	2009-12-01	0	1	665.15
13047	2009-12-01	2009-12-01	0	1	306.30
13050	2009-12-01	2009-12-01	0	1	327.91
13070	2009-12-01	2009-12-01	0	1	154.20
13074	2009-12-01	2009-12-01	0	1	313.30
13077	2009-12-01	2009-12-01	0	2	638.59
13078	2009-12-01	2009-12-01	0	4	2319.03
13081	2009-12-01	2009-12-01	0	1	2285.58
13082	2009-12-01	2009-12-01	0	2	192.18
13085	2009-12-01	2009-12-01	0	4	1096.80
13087	2009-12-01	2009-12-01	0	1	313.64
13089	2009-12-01	2009-12-01	0	5	3128.50
13091	2009-12-01	2009-12-01	0	1	762.98
13093	2009-12-01	2009-12-01	0	3	1943.47
13097	2009-12-01	2009-12-01	0	3	1237.73
13110	2009-12-01	2009-12-01	0	1	362.78
13111	2009-12-01	2009-12-01	0	1	321.88
