stock_code	description	units_sold	orders	revenue
22423	REGENCY CAKESTAND 3 TIER	18401	1663	208460.70
23843	PAPER CRAFT , LITTLE BIRDIE	80995	1	168469.60
85123A	WHITE HANGING HEART T-LIGHT HOLDER	62407	2106	165461.51
85099B	JUMBO BAG RED RETROSPOT	57949	1452	103301.57
84879	ASSORTED COLOUR BIRD ORNAMENT	52883	1105	82442.99
23166	MEDIUM CERAMIC TOP STORAGE JAR	76854	102	80139.63
47566	PARTY BUNTING	15103	1044	65229.13
79321	CHILLI LIGHTS	12222	590	56346.35
85099F	JUMBO BAG STRAWBERRY	29237	862	51423.48
22086	PAPER CHAIN KIT 50'S CHRISTMAS	17690	668	47031.48
84347	ROTATING SILVER ANGELS T-LIGHT HLDR	24271	209	45225.52
21137	BLACK RECORD COVER FRAME	13142	283	44897.75
82484	WOOD BLACK BOARD ANT WHITE FINISH	8099	546	43592.76
15056N	EDWARDIAN PARASOL NATURAL	8386	526	40120.71
22502	PICNIC BASKET WICKER 60 PIECES	61	2	39619.50
21623	VINTAGE UNION JACK MEMOBOARD	5503	221	38654.93
85099C	JUMBO  BAG BAROQUE BLACK WHITE	21764	789	38601.62
23084	RABBIT NIGHT LIGHT	20194	333	38114.87
15056BL	EDWARDIAN PARASOL BLACK	7993	493	38104.97
22189	CREAM HEART CARD HOLDER	12907	489	35631.91
21931	JUMBO STORAGE BAG SUKI	19589	960	35449.76
21929	JUMBO BAG PINK VINTAGE PAISLEY	20014	711	35389.46
22386	JUMBO BAG PINK POLKADOT	19433	573	35053.82
21621	VINTAGE UNION JACK BUNTING	3920	511	32895.62
22411	JUMBO SHOPPER VINTAGE RED PAISLEY	17901	895	32679.70
21731	RED TOADSTOOL LED NIGHT LIGHT	21179	551	32080.11
21915	RED  HARMONICA IN BOX	28788	412	31956.20
21733	RED HANGING HEART T-LIGHT HOLDER	11239	708	31811.85
21843	RED RETROSPOT CAKE STAND	3209	490	31034.19
21181	PLEASE ONE PERSON METAL SIGN	15684	665	30632.10
21175	GIN + TONIC DIET METAL SIGN	15179	707	30542.69
22470	HEART OF WICKER LARGE	10419	584	30428.35
48138	DOORMAT UNION FLAG	4833	417	30107.21
20713	JUMBO BAG OWLS	16842	566	30055.71
22326	ROUND SNACK BOXES SET OF4 WOODLAND	11043	614	29734.17
21166	COOK WITH WINE METAL SIGN	15675	634	29203.39
